OBJECTID,HUC_12,Pct_Land,Percent nonbuffered agriculture,Percent of agriculture that is buffered,Average width of stream buffers downstream from agriculture (meters),Net agricultural phosphorus balance (kg P/ha/yr),Crop phosphorus removal (kg P/ha/yr),Phosphorus fertilizer application (kg P/ha/yr),Phosphorus application as manure (kg P/ha/yr),WSfrq,Candidate Ecological Restoration Areas per square kilometer,Population [12-digit HUC],Pct ag on slope >= 3%,Percent pasture on slopes >= 3%,Percent cropland on slopes >= 3%,Pct ag on slope >= 9%,Percent pasture on slopes >= 9%,Percent cropland on slopes >= 9%,Dissolved nutrients in surface runoff from agricultural fields (tons) Nitrogen,Dissolved nitrogen in non-tile drain subsurface flow from agricultural fields (tons),Dissolved nutrients in tile drain subsurface flow from agricultural fields (tons) Nitrogen,Nutrients attached to eroding surface soil from agricultural fields (tons) Nitrogen,Dissolved nutrients in leachate from agricultural fields (tons) Nitrogen,Dissolved nutrients in surface runoff from agricultural fields (tons) Phosphorus,Nutrients attached to eroding surface soil from agricultural fields (tons) Phosphorus,Dissolved nutrients in tile drain subsurface flow from agricultural fields (tons) Phosphorus,Dissolved nutrients in leachate from agricultural fields (tons) Phosphorus,Subsurface water flow through agricultural tile drainage systems (mm),Non-tile drainage system subsurface water flow from agricultural lands (mm),Percolation from agricultural lands (mm),Surface runoff from agricultural land (mm),Surface sediment erosion from agricultural lands (tons),Thermo_Plants,FWWGYR,FWCGYR,Thermoelectric water use (million gallons/day) Withdrawal,Thermoelectric water use (million gallons/day) Consumption,Industrial water use (gallons/day),Industrial water use (million gallons/day),Count of Industrial Facilities,Rd Buffer Area,Population near major roadway with little to no tree buffer,Roads near streams (km/km),Road Density (km/km2),Roads Crossing Streams - Count,Roads Crossing Streams - Count per Km of Stream,Percent tree canopy,Percent tree canopy in stream buffers,Total permitted discharges - pounds per year,Total permitted discharges - toxic-weighted pound-equivalents,Permitted metals discharges - pounds per year,Permitted metals discharges - toxic-weighted pound-equivalents,Permitted priority pollutant discharges - pounds per year,Permitted priority pollutant discharges - toxic-weighted pound-equivalents,Permitted solids discharges (total pounds per year),Permitted organic enrichment discharges (total pounds per year),Permitted nitrogen discharges - total pounds per year,Permitted nitrogen discharges - pounds per year from publicly-owned treatment works,Permitted phosphorus discharges - total pounds per year,Permitted phosphorus discharges - pounds per year from publicly-owned treatment works,Permitted nitrogen discharges - pounds per year from non publicly-owned treatment works,Permitted phosphorus discharges - pounds per year from non-publicly-owned treatment works,Permitted pathogen indicator discharges (colony-forming units / 100 ml)  - average,Permitted pathogen indicator discharges (colony-forming units / 100 ml)  - maximum,Wastewater flow discharges - daily average (mgd),Wastewater flow discharges - annual total (mgy),Number of combined sewer overflow events,Number of farmers markets [12-digit HUC],Percentage of land area in estimated floodplains classified as natural,Percentage of land area in estimated floodplains classified as forest,Percentage of land area in estimated floodplains classified as shrubland,Percentage of land area in estimated floodplains classified as wetland,Percentage of land area in estimated floodplains classified as developed,fp_pdevl,fp_pdevm,fp_pdevh,Percentage of land area in estimated floodplains classified as agriculture,fp_pagp,Percentage of land area in estimated floodplains classified as agriculture - cropland,Area of estimated floodplain classified as land (m2),Area in square meters of estimated floodplain classified as water,Percentage of area that is both land and floodplain,Number of vulnerable native aquatic species based on IUCN range,Native aquatic species rarity index,Native aquatic species vulnerability index,Native aquatic species richness,Non-native aquatic species richness - animals,Non-native aquatic species richness - plants,Non-native aquatic species richness - plants and animals,Percentage of land area in estimated floodplains classified as rangeland,Nitrate violation index - Groundwater,Nitrate violation index - Surface water,Shape__Area,Shape__Length
60350,140100051806,98.3128765900469,0.002269941,95.8333333333333,219.041666666667,-0.00661895795518547,0.0143190025313253,0.00509309721524989,0.0035630107283337,0,0,14.6420504385,0.06809824,0.05447859,0.01361965,0.002269941,0.002269941,0,0.44598045621,0.730882203467,0,0.90415183436,1.34471846516,0.0154073829381,0.0527636060313,0,0.674736991737,0,4.98481537459,6.6360597683,3.75861556371,0.000473856517937,0,0,0,0,0,0,0,0,636300,0.00013504648814,0.0564329325805,0.915010346822,11,0.221406485003,0.211437529820735,0.0945665340024226,,,,,,,,,,,,,,,,,,,,0,99.71014,0,62.02898,30.28986,0.2898551,0.4304161,0,0,0,0,0,621000,249300,1.53985750139021,3,0,0.057692307692308,32,0,0,0,69.42029,0.460328571428571,0.441357142857143,67460047.09375,45192.6806323803
60351,140100051807,99.4652607795142,12.93303,52.8307097486882,38.9621651477492,-1.45970782955751,3.1578324334353,0.914257537437225,0.785766383796338,10,0.2092114,634.479276414,9.803885,5.395071,4.408814,0.800742,0.3520994,0.4486427,1.50020918949,2.20377283042,0,3.16713128065,2.43417766685,0.0462888655236,0.279356646944,0,1.57246625306,0,0,12.8858575022,1.44498479787,0.000615341167142,0,0,0,0,0,2930.54101222,0.00293054101222,1,2056500,57.4558972506,0.0407811532675,1.53386457508,12,0.347386574114,0.259685069246822,0.297472133757962,,,,,,,,,,,,,,,,,,,,0,89.32949,0,15.51911,73.72026,6.921413,4.398564,1.220826,0,3.749099,3.141831,1.802451,4993200,179100,10.4463431031654,3,0,0.057692307692308,32,1,0,1,15.57318,0.587563636363636,0.534909090909091,79800999.0390625,47769.2592426633
60352,140100051901,98.0516031328052,0.4298275,73.7877723120169,5.621925509487,-0.0872136597849832,0.18867208761297,0.055004750291794,0.0469474511811478,2,0.0251095,11.8513687777,0.5554788,0.1590375,0.3964413,0.1083299,0.0253538,0.08297607,0.422165924144,0.669239878159,0,0.773652060311,0.50467126762,0.0143051227895,0.0598209969787,0,0.329330064417,0,1.52785155284,7.60901685568,2.22673571136,0.00464190916364,0,0,0,0,0,0,0,0,309600,0.75488896473,0.0194632531425,0.530059978307,4,0.0619971164271,4.95622386024909,3.76657760505222,,,,,,,,,,,,,,,,,,,,0,78.35191,0.9118541,19.52043,56.56873,1.452212,0.4115226,0.1582779,0.06331117,20.19588,7.913897,10.09794,2664900,1686600,3.34571507282625,3,0,0.057692307692308,32,1,1,2,19.75684,0.455329032258065,0.463603225806452,132644377.523438,60859.9936940108
60353,140100051902,100,0.00327654,80,143.1,0,0,0,0,0,0,0.181305986378,0.00982962,0,0.00982962,0.00982962,0,0.00982962,0.142255682066,0.25637783488,0,0.185309027018,0.0567172438061,0.00564642172527,0.00817958884462,0,0.0396831041048,0,1.48156478755,5.26035001159,1.92300371371,0.00439931619093,0,0,0,0,0,0,0,0,0,0,0.00800677498709,0.371522791057,1,0.0226774687247,8.04724848047969,7.03306716768436,,,,,,,,,,,,,,,,,,,,0,100,30.07519,49.24812,20.67669,0,0,0,0,0,0,0,239400,900,0.43578339911369,3,0,0.057692307692308,30,0,0,0,49.24812,0.413988235294118,0.439305882352941,91402555.2695313,48195.4503459779
60354,140100051903,100,0.002769776,0,0,-0.00252852287281916,0.00547003405393243,0.00158022247042352,0.00136111366527624,2,0.03077855,5.81590639639,0.01384888,0.01384888,0,0.001384888,0.001384888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2329200,4.06044189566,0.173743375313,1.10756568953,21,0.530468687686,0.627243518723687,0.310971895936657,,,,,,,,,,,,,,,,,,,,0,88.86987,0.08561644,86.4726,2.311644,11.13014,5.222603,0.08561644,0,0,1.626712,0,1051200,0,1.6177207520664,3,0,0.057692307692308,30,0,0,0,86.4726,0.4969875,0.4494125,108342919.867188,70899.2215540028
60355,140100051904,100,0,100,274.181818181818,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0594661070752,0.0605741110964,0,0.036981272573,0.158855177963,0.00754751741591,0.0017021220315,0,0.203997480548,0,1.34065966128,27.962999918,3.58706635276,0.00117008930052,0,0,0,0,0,0,0,0,0,0,0.0244987365403,0.531545883281,8,0.141828149345,9.07638707429666,7.57924287537218,104430.964697,0.011853888616,0.915125501776,0.011853888616,0.00603839358045,0.0067630008101,80652.9714438,0,0,0,0,0,0,0,0,0,1.45175,533.394,0,0,100,23.6413,34.51087,41.84783,0,0,0,0,0,0,0,331200,0,0.53404828725131,3,0,0.057692307692308,30,0,0,0,34.51087,0.414729166666667,0.4373625,103097997.589844,51402.9106102712
60356,140100051905,96.4947495585912,0.00192604,75,157,-0.00721543480818845,0.0156093799027868,0.00450348439842764,0.00388409653078805,0,0,0.465747449864,0.06356055,0.05970839,0.003852154,0.003852154,0,0.003852154,0.317316282584,0.467336296495,0,0.66867370958,0.510383098397,0.00979710894375,0.0588137711338,0,0.329968398735,0,0.0305826152564,2.60147892588,0.317768681756,0.000210815667754,0,0,0,0,0,0,0,0,881100,0.215829082121,0.0414543955134,0.547311895372,7,0.202516361626,1.95740318025303,1.56153937805314,,,,,,,,,,,,,,,,,,,,0,98.7979,0.2629602,26.74681,70.02254,0,0,0,0,1.202104,2.300453,0,2395800,1809900,4.9485552158182,3,0,0.057692307692308,30,0,1,1,28.47483,0.469791176470588,0.471811764705882,80664794.8984375,62354.9674518452
60357,140100051906,97.255029201817,0.01111506,54.5454545454545,0,-0.070466902083604,0.0874690708693275,0.0116599552664004,0.00534322589158372,0,0,0,0.3803296,0.3758813,0.0044483,0.0133449,0.0133449,0,0.0604780334342,0.000179776281747,0,0.000349949049951,0.984554469893,0.0119387460181,0,0,1.44066689471,0,0.0228047621182,129.73629522,9.96568100595,0,0,0,0,0,0,0,0,0,0,0,0.0587546429352,0.630656686614,11,0.353244418134,1.74516244358046,1.63595839524517,,,,,,,,,,,,,,,,,,,,0,97.32334,0.05353319,48.23341,48.20664,0,0,0,0,2.67666,7.32638,0,3362400,1262700,8.07995719865577,3,0,0.057692307692308,30,0,1,1,49.06317,0.461114285714286,0.450157142857143,69204645.8632813,47193.5341619443
60358,140200010101,99.5364740793628,0,,,0,0,0,0,10,0.06197977,0.0166064354125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0815624211144,0.520542482234,26,0.241204298729,25.8187416601064,25.0358437538186,,,,,,,,,,,,,,,,,,,,0,100,7.846343,7.744176,80.73151,0,0,0,0,0,0,0,4404600,900,2.72996104113219,0,0,0,19,0,0,0,11.42215,0.168557142857143,0.213440816326531,267395540.152344,82997.655244019
60359,140200010102,99.7962259600892,0,,,0,0,0,0,9,0.1205604,1.48070161667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0922203116154,0.689528842098,18,0.355995043999,29.6254542381476,29.3826203464446,,,,,,,,,,,,,,,,,,,,0,98.49525,8.014393,13.05201,68.59666,1.504743,0.06557377,0,0,0,0,0,2751300,50400,3.68553202921782,0,0,0,19,0,1,1,21.8842,0.189596153846154,0.26875,123562343.671875,63550.2101760027
